accession	phylum	class	species
GB_GCA_022015155	Thermoproteota	Thermoprotei_A	Acidilobus sp022015155
GB_GCA_000495695	Thermoproteota	Thermoprotei_A	Acidilobus sp028276005
RS_GCF_000949015	Thermoplasmatota	Thermoplasmata	Acidiplasma aeolicum
RS_GCF_000025665	Thermoplasmatota	Thermoplasmata	Aciduliprofundum boonei
RS_GCF_000327505	Thermoplasmatota	Thermoplasmata	Aciduliprofundum sp000327505
GB_GCA_015520565	Thermoplasmatota	Thermoplasmata	Aciduliprofundum sp015520565
GB_GCA_015523135	Thermoplasmatota	Thermoplasmata	Aciduliprofundum sp015523135
GB_GCA_001273385	Thermoproteota	Bathyarchaeia	AD8-1 sp001273385
GB_GCA_026015145	Thermoproteota	Bathyarchaeia	AD8-1 sp026015145
GB_GCA_030607735	Thermoproteota	Bathyarchaeia	AD8-1 sp030607735
RS_GCF_000591035	Thermoproteota	Thermoprotei_A	Aeropyrum camini
RS_GCF_000011125	Thermoproteota	Thermoprotei_A	Aeropyrum pernix
GB_GCA_015523455	Thermoproteota	Thermoprotei_A	Aeropyrum sp015521685
GB_GCA_015523465	Thermoproteota	Thermoprotei_A	Aeropyrum sp015523465
GB_GCA_034190545	Halobacteriota	Halobacteria	Afararchaeum irisae
GB_GCA_003116855	Thermoproteota	Thermoprotei_A	AG1 sp003116855
GB_GCA_032249255	Thermoproteota	Thermoprotei_A	AG1 sp032249255
GB_GCA_038867615	Thermoproteota	Thermoprotei_A	AG1 sp038867615
GB_GCA_038897115	Thermoproteota	Thermoprotei_A	AG1 sp038897115
GB_GCA_029259535	Halobacteriota	Syntropharchaeia	Alkanophaga liquidiphilum
GB_GCA_016933055	Asgardarchaeota	Lokiarchaeia	AMARA-1 sp016933055
GB_GCA_014874295	Micrarchaeota	Micrarchaeia	A-MIC-10 sp014874295
GB_GCA_003194425	Halobacteriota	Syntropharchaeia	ANME1a sp003194425
GB_GCA_014859735	Halobacteriota	Syntropharchaeia	ANME-1-THS sp014859735
GB_GCA_020725315	Halobacteriota	Syntropharchaeia	ANME-1-THS sp020725315
RS_GCF_003201835	Thermoproteota	Thermoprotei_A	Aramenus brierleyi
GB_GCA_022678445	Thermoproteota	Thermoprotei_A	Aramenus sp022678445
GB_GCA_037444045	Thermoproteota	Thermoprotei_A	Aramenus sp037444045
GB_GCA_000961135	Thermoproteota	Thermoprotei_A	Aramenus sulfurataquae
GB_GCA_002010195	Halobacteriota	Archaeoglobi	Archaeoglobus_A sp002010195
GB_GCA_002011235	Halobacteriota	Archaeoglobi	Archaeoglobus_A sp002011235
GB_GCA_002494625	Halobacteriota	Archaeoglobi	Archaeoglobus_A sp002494625
GB_GCA_017656505	Halobacteriota	Archaeoglobi	Archaeoglobus_A sp017656505
RS_GCF_000385565	Halobacteriota	Archaeoglobi	Archaeoglobus_A sulfaticallidus
RS_GCF_000025285	Halobacteriota	Archaeoglobi	Archaeoglobus_B profundus
GB_GCA_027036775	Halobacteriota	Archaeoglobi	Archaeoglobus_B sp027036775
GB_GCA_029984855	Halobacteriota	Archaeoglobi	Archaeoglobus_C sp029984855
RS_GCF_000194625	Halobacteriota	Archaeoglobi	Archaeoglobus_C veneficus
RS_GCF_000734035	Halobacteriota	Archaeoglobi	Archaeoglobus fulgidus
RS_GCF_016757965	Halobacteriota	Archaeoglobi	Archaeoglobus neptunius
GB_GCA_004366995	Halobacteriota	Archaeoglobi	Archaeoglobus sp002507545
RS_GCF_017656475	Halobacteriota	Archaeoglobi	Archaeoglobus sp017656475
GB_GCA_029259415	Halobacteriota	Archaeoglobi	Archaeoglobus sp029259415
GB_GCA_039793985	Thermoproteota	Thermoprotei_A	ARK-14 sp002899805
GB_GCA_038878775	Thermoproteota	Thermoprotei_A	ARK-14 sp038734945
GB_GCA_014836265	Thermoplasmatota	Thermoplasmata	ARK-15 sp002878135
GB_GCA_022759105	Thermoplasmatota	Thermoplasmata	ARK-15 sp009758405
GB_GCA_030756795	Thermoplasmatota	Thermoplasmata	ARK-15 sp023261755
GB_GCA_038875195	Thermoplasmatota	Thermoplasmata	ARK-15 sp038880255
GB_GCA_021654395	Micrarchaeota	Micrarchaeia	ARM-1 sp021654395
GB_GCA_014240435	Nanobdellota	Nanobdellia	ARS1285 sp002688165
GB_GCA_038045965	Nanobdellota	Nanobdellia	ARS1285 sp038045965
GB_GCA_038128845	Nanobdellota	Nanobdellia	ARS21 sp038128845
